customer_code,account_type,customer_name,salesperson,suburb,state,postcode,customer_group,customer_type,customer_ranking,email,phone
1010,Standard,Adheseal Save Account,UNASSIGNED,Nan,UNKNOWN,0,UNCATEGORIZED,Office,UNRANKED,mal@adheseal.com.au,NO_PHONE_PROVIDED
2020TILE,Cash Sale,20/20 Tiling,Q1,Everton Park,QLD,4053,TILER,Bathroom,I-POTENT,johnm_64@hotmail.com,NO_PHONE_PROVIDED
360PROOF,Cash Sale,360 Proof,Q1,Orange,NSW,2800,A0,Waterproofing,A-OCCASI,scott@360proof.com.au,+61417441007
3XMCAN,Cash Sale,3Xm Canopies,HO,Deception Bay,QLD,4508,UNCATEGORIZED,Auto Manufacturer,I-NO POT,sales.bris@3xm.com.au,+61732032212
A1CIVIL,Cash Sale,A1 Civil Constructions,Q2,Jimboomba,QLD,4280,UNCATEGORIZED,Commercial Construct,A-OCCASI,a1civilconstructions@outlook.com.au,+61407373561
A1CUSTOM,Cash Sale,A1 Custom Stainless & Kitchens,Q1,Burpengary East,QLD,4505,UNCATEGORIZED,Sheet Metal,I-POTENT,projects@a1customstainless.com.au,+61738887534
A1INSTAL,Cash Sale,A1 Instalations,Q4,Doonan,QLD,4562,UNCATEGORIZED,Misc Construction,FOL-UP,barkercliff73@gmail.com,+61449728703
AARONYAT,Cash Sale,Aaron Yates Builder,SC OFFICE,Rosemount,QLD,4560,CONST,Domestic Builder,I-NO POT,aaron@aaronyatesbuilder.com.au,+61421208274
ABAQUA,Cash Sale,Ab Aquatech Wp,Q3,Kuraby,QLD,4112,WPR,Waterproofing,A-POTENT,ana@abaquatech.com.au,+61403766791
ABCADH,Standard,Abc Adhesives,HO,Northgate,QLD,4013,RESELLER,Adhesive Supplies,A-MONITO,chris@abcadhesives.com.au,+61732668699
ABCBRICK,Standard,Abc Bricklaying Company,Q3,Browns Plains,QLD,4118,CONST,Masonry,FOL-UP,midoadmin@dodo.com.au,+61738094301
ABCTRADE,Standard,Abc Trade Outlet Qld Pty Ltd,Q3,Sunnybank Hills,QLD,4109,UNCATEGORIZED,Megapoxy Reseller,FOL-UP,grace.xu@abctradeoutlet.com.au,+61411923615
ABGAL,Standard,Abgal Pty Ltd,Q3,Browns Plains,QLD,4118,IND,Misc Industrial,FOL-UP,accpay@abgal.com.au,+61738039000
ABLDIST,Standard,Abl Distribution Pty Ltd,Q5,Arundel,QLD,4214,RESELLER,Industrial Supplies,A-MONITO,invoices@abldistribution.com.au,56185100
ABLEBUIL,Standard,Able Building Company,Q3,Browns Plains Bc,QLD,4118,CONST,Masonry,A-OCCASI,ablesharon@bigpond.com,+61738009300
ABMBCAR,Cash Sale,Ab & Mb Carpentry,Q5,Mudgeeraba,QLD,4213,APP D,Domestic Builder,A-MONITO,abandmbcarpentry@gmail.com,+61418721008
ABMCON,Cash Sale,Abm Construtions,GC OFFICE,Merrimac,QLD,4226,APP D,Domestic Builder,A-MONITO,beauparis4@gmail.com,+61449522770
ABODE,Cash Sale,Abode Carpentry & Maintenance,SC OFFICE,Twin Waters,QLD,4564,UNCATEGORIZED,Joinery & Cabinet,A-MONITO,obouck@gmail.com,+61409794612
ABOVE&BE,Cash Sale,Above And Byond Waterproofing,Q8,Sydney,NSW,2000,APP D,Waterproofing,A-NEVER,joshuahwp@live.com,+61425656924
ABSOWAT,Cash Sale,Absolute Waterproofing,Q1,Narangba,QLD,4504,UNCATEGORIZED,Waterproofing,I-POTENT,info@absolutewaterproofing.net.au,+61400047119
ABWATER,Standard,Ab Waterproofing,Q1,Wynnum,QLD,4178,UNCATEGORIZED,Waterproofing,A-OCCASI,ab.waterproofing@hotmail.com,+61733482487
ACCESSPR,Standard,Access Pro Solutions,Q5,Gcmc,QLD,9726,APP D,Commercial Caulking,A-MONITO,accounts@accesspro.com.au,1300845584
ACCESSS,Cash Sale,Accessable Services Qld,Q3,Woolloongabba,QLD,4102,UNCATEGORIZED,Misc Construction,FOL-UP,jesse@accessableqld.com,+61401000438
ACCIOINF,Standard,Acciona Infrastructure Projects Australia Pl,HO,Port Melbourne,VIC,3207,UNCATEGORIZED,Commercial Construct,NEW-ACCE,CSTP.ProgressClaims@acconia.com,+61396244200
ACCIONA,Standard,Acciona Construction Australia Pty Ltd,Q3,South Brisbane,QLD,4101,CONSTRUCT,Commercial Construct,I-POTENT,invoices.brisbanemetro@acciona.com,+61730874333
ACETRUCK,Standard,Ace Truck Bodies,Q1,Eagle Farm,QLD,4009,A1,Auto Manufacturer,A-SERVIC,accounts@acetruckbodies.com,+61732601613
ACKINCLO,Standard,Ackinclose Plumbing & Irrigation,Q2,Murgon,QLD,4605,RESELLER,Hardware,FOL-UP,heather@ackplumbing.com.au,41683344
ACLAD,Cash Sale,Aclad,UNASSIGNED,Loganholme,QLD,4129,A1,Facade Cladding,CLOSED,julie@aclad.com.au,+61733906299
ACTECH,Standard,Actech International Pty Ltd,Q1,Pascoe Vale,VIC,3044,RESELLER,Megapoxy Reseller,I-POTENT,ap@actech.com.au,+61393573366
ACTIVATE,Standard,Activates Construction,HO,Gordon Park,QLD,4031,UNCATEGORIZED,Domestic Builder,A-POTENT,accounts@activates.com.au,+61408877358
ACUMEN,Cash Sale,Acumen Tiling Services,Q3,Rochedale South,QLD,4123,UNCATEGORIZED,Bathroom,A-OCCASI,jose.e.arman@gmail.com,+61411631001
